Label,Species,Infected_Status,Risk,ID,Phys_Growth_rate_mean_mm_per_year,Phys_Growth_form,Phys_Repo,Phys_Life_history,days_to_infection,perc_lost_hour,Bac_nautella_italica,Bac_thalassobius_mediterraneus,Bac_pseudoalteromonas_sp,Bac_arthrobacter_ramosus,Bac_pseudomonas_veronii,Bac_endozoicomonas_sp,AntOx_RED660,AntOx_Catalase,AntOx_Prophenyloxidase,AntOx_POX,AntBac_Vibrio_gentimepermgprot,Q95029,Q3SZQ6,Q5ZL16,Q80W94,C9JTQ0,Q8N6G6,P34897,Q28HC7,Q5JU00,Q08CD5,P21670,Q1LU86,Q96P65,B0G143,Q6IND7,Q5ZJA9,Q5R5D8,Q7Z494,A3KP77,Q9JLI8,P11029,A7SE05,Q04336,Q5S1U6,Q5JVL4,Q9BV90,O16025,Q2HJ56,Q8K3Z0,Q91447,Q460N5,Q9CZB9,P38024,Q9SY73,Q9R080,Q6DG99,Q0EEE2,O73792,Q9NXG6,P61357,Q3KQ77,Q01890,K0E4E1,A7SDW5,Q9NQX0,Q5ZID0,A7SFB5,O73874,C3YWU0,Q99578
Cnat_71,Cnat,Control,0.65,71,6.208,massive,spawner,stress_tolerant,0,0,0.32501108,0.07386616,0.01477323,7.80026592,0.20682523,0,0.148854962,74.94929395,0.556882591,1.005525227,5.25,8.403051922,15.56757761,2.313822846,10.67084491,2.12188457,12.63886024,3.15692251,12.89615789,2.174352337,10.83165044,3.602638691,5.237927617,1.69347051,2.003082378,10.94361431,2.478008839,9.589061935,8.063714807,2.558553716,10.50290681,2.194334979,2.4596118,2.075984541,8.70315843,2.094422015,2.613655481,4.456755393,2.020935821,1.794139489,2.504788188,1.662362693,3.01852883,13.34916427,9.589796651,8.367476514,7.769110071,5.198008791,9.447579488,3.973596082,15.94076385,3.097336723,6.509145973,9.373937539,7.476303744,5.508812171,3.061176416,1.984323808,3.525771287,2.41818278,2.457609166
Cnat_72,Cnat,Infected,0.75,72,6.208,massive,spawner,stress_tolerant,6,0.39,2.039532794,10.94339623,33.85444744,0.835579515,0.161725067,0,0.04389313,284.3451087,2.008466819,8.583899018,120.66,7.891896609,16.69554181,2.766117423,8.62154833,5.737506635,12.60221237,2.534616048,12.91812365,1.396662403,9.911432394,4.570195002,1.241521918,0.88433487,1.232773644,9.418005508,1.72299503,6.645851342,5.730556795,1.848018393,8.700687722,1.433426912,1.673620583,1.29395564,8.836374303,1.324295171,1.871921131,3.856107822,1.254061256,1.036427592,1.760043664,0.827350234,2.335992773,10.92757278,8.561551078,9.835556922,4.766104899,4.605226702,8.123143474,3.395975961,14.53212611,2.416284105,4.179681821,8.095361542,5.469627796,7.61110726,2.423836055,1.242062081,1.292790321,6.281610185,1.716791193
Cnat_73,Cnat,Control,0.65,73,6.208,massive,spawner,stress_tolerant,0,0,0.584788795,0.339266782,0.049104403,51.73260421,1.13051727,0,0.229961832,47.21924564,0.698056344,1.660864677,5.13,7.036064905,10.19146152,6.345198531,1.389722959,6.182119082,5.67857352,10.36400349,3.057183706,9.248999725,2.442786777,11.4927579,8.419807191,5.99449606,7.963359764,2.360579347,9.058087397,1.85803657,1.934465351,7.921928046,2.065090055,6.577182842,5.519129479,7.509010839,6.90644851,6.552215034,7.253878018,9.205809834,9.216034616,7.147868128,10.44641345,4.307032325,7.906345349,5.792652071,2.22683497,3.532836347,1.634342209,8.593397363,2.06919433,7.420386577,9.755488562,9.200114227,6.155107423,1.635775906,2.260880647,1.603320335,10.3658354,1.876517064,6.345530339,6.683065471,9.894453377
Cnat_74,Cnat,Infected,0.75,74,6.208,massive,spawner,stress_tolerant,2,1.39,0.333076896,0.212434871,0.05769836,51.36640207,0.376787775,0,0.086832061,57.18894833,2.454829381,1.099638426,20.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cnat_75,Cnat,Control,0.65,75,6.208,massive,spawner,stress_tolerant,0,0,2.529343344,1.330231574,0.750766628,2.584329068,0.164957175,0.008459342,0.029580153,247.3391269,2.446519525,3.140728408,94.44,7.464992519,14.49013411,3.24108085,9.609468217,1.773391228,12.04762056,7.882862621,10.89394344,1.804486608,10.78237406,3.340673027,1.624709887,1.269432402,1.638952006,9.85344946,2.113451956,9.32636373,9.217018487,2.212404822,9.955201712,1.83348448,2.086194491,5.934434702,7.928472871,1.730036645,2.253123226,3.977190193,1.657309531,1.415502198,2.143668081,1.233404608,2.681373251,11.14191338,8.831636231,10.71189521,9.258149482,3.976266601,8.047454305,3.489706483,14.10015107,2.762097863,5.980794992,9.725515392,2.004476648,7.022504417,2.744483743,1.63303135,3.070952635,7.784785715,4.388624546
Cnat_76,Cnat,Infected,0.75,76,6.208,massive,spawner,stress_tolerant,5,1.82,23.27782647,7.774679308,0.900326667,3.163094574,0.106764401,0,0.182251908,48.31817394,0.375420226,1.571734504,5.34,8.990372198,9.263821737,8.546039997,1.695243658,7.697077237,2.28397125,8.641020155,3.259325335,9.349913994,6.397834892,10.72041403,9.456589977,7.443272025,9.106646834,2.621450673,8.70007531,2.115904042,2.192016623,8.30115343,2.324764112,7.898516848,8.954721497,8.782763941,8.824350459,7.918414435,9.485397809,9.300368852,9.112941309,7.12093024,10.58725752,6.821045559,9.455505777,5.826112997,2.481687012,5.316742841,1.941306198,7.658248702,2.326123875,5.834747107,7.094218179,9.203981477,7.767097561,1.944106048,6.957475573,1.905626023,10.66496149,7.257538603,2.167303656,5.388523341,10.51499915
Cnat_77,Cnat,Control,0.65,77,6.208,massive,spawner,stress_tolerant,0,0,0.295522309,0.217683844,0.063326209,0.857542415,0.257262725,0,0.105916031,70.6395142,2.273399716,7.017122929,43.86,6.868894109,10.63721218,4.108753225,5.945254273,6.080917966,6.911107938,8.215922826,7.013591833,7.361734679,8.42596237,8.595900957,6.850264818,4.218355835,6.874336488,6.249739854,7.573767559,6.310664112,1.863678173,4.98919773,7.188592364,5.076960411,8.532338215,8.479502122,8.354525345,5.038743374,8.916719047,4.639063727,7.515240918,6.637919272,8.053340135,3.026945494,7.930180293,7.77432157,4.56892578,9.422724948,4.621784053,7.026125046,1.999362385,6.438953104,10.34563902,7.142599305,5.394855218,7.265774309,6.305380444,6.484674352,9.287895285,4.390027107,3.29681742,7.813601995,7.818091478
Cnat_78,Cnat,Infected,0.75,78,6.208,massive,spawner,stress_tolerant,5,0.12,9.89382526,3.7546711,0.69399134,3.67756095,0.30250905,0,0.125,31.25165024,1.336842105,6.172903226,30.04,7.882193725,9.774644117,7.058542672,1.355964508,7.188990922,2.013984664,10.12557272,3.035781142,9.215726202,2.414660159,11.18740964,10.01304115,5.451289537,7.392397863,2.331929216,9.260670357,1.830069595,1.905895153,7.256900035,2.036410773,5.349091107,7.160418162,8.168847724,8.07599209,6.154703003,10.00221208,9.455444032,8.853050535,6.813836676,9.611057113,7.772569829,7.96071693,6.127955242,2.198874408,2.114709009,1.600424281,7.837207721,2.040962269,7.474665923,7.06689531,9.728589911,6.006450138,1.601707025,6.620793516,1.569917125,9.247497511,5.033723007,1.889709853,6.183131276,10.44525607
Cnat_79,Cnat,Control,0.65,79,6.208,massive,spawner,stress_tolerant,0,0,0.163548307,0.066801421,0.051828689,0.067377296,0.001151749,0.126116476,0.573473282,8.543768787,0.578194238,0.157500939,0.64,9.12767861,9.482320402,7.728551831,1.546004664,5.716996548,2.165295633,10.64867055,3.158774378,9.408653206,2.573769605,10.14435409,1.996731614,7.71050029,8.32891048,2.493726534,9.35160275,1.987241735,2.066459895,6.731132993,2.197938535,7.674266159,8.241521425,9.235516067,7.077817568,6.162269088,6.866692394,7.34288736,9.376658865,7.155301588,5.252167796,7.78993868,9.173161963,4.234070579,7.282019631,6.352465376,1.791362194,2.477954245,2.200372522,5.653348845,7.081174211,9.541783987,2.013299779,1.793494713,6.277021003,1.757957479,11.75474152,7.825806719,9.30093755,7.32673807,9.594821415
Cnat_80,Cnat,Exposed,0.7,80,6.208,massive,spawner,stress_tolerant,0,0,4.343111809,3.049655078,0.14770166,0.09135305,0.005976368,0.14770166,0.239503817,31.7918908,1.038330887,1.217571006,4.71,9.464263155,10.20487702,7.78442252,1.684159905,7.174324056,2.275164835,10.39567644,3.251748074,10.64947487,2.690403236,11.23192936,2.110047468,6.247281498,9.241371661,2.611951159,9.561580533,2.104844367,2.182710423,7.205559579,2.315350524,8.152273166,8.993547497,9.625664212,7.582984156,8.28019692,6.54110512,9.655730054,9.168556318,1.954549565,5.091027806,8.137500876,9.777530794,4.284872323,7.744624578,4.529799996,1.930170086,2.595210711,5.266527788,5.821257179,8.272746344,9.7460349,2.128407624,1.932920374,2.513975406,4.682041647,11.54405089,8.120225889,8.340070797,6.582581384,9.861861951
